created_date,Agency,datasets_created
2025-07-24,CDC,5
2025-07-29,CDC,1
2025-07-30,CDC,4
2025-07-31,CDC,1
2025-08-01,CDC,1
2025-08-04,CDC,2
2025-08-06,CDC,5
2025-08-12,CDC,1
2025-08-15,CDC,2
2025-08-19,CDC,6
2025-08-27,CDC,1
2025-09-03,CDC,1
2025-09-04,CDC,1
2025-09-11,CDC,8
2025-09-15,CDC,1
2025-09-23,CDC,1
2025-09-24,CDC,2
2025-09-30,CDC,1
2025-10-22,CDC,1
2025-10-27,CDC,2
2025-10-30,CDC,1
2025-11-12,CDC,2
2025-11-13,CDC,6
2025-11-17,CDC,1
2025-11-18,CDC,2
2025-11-20,CDC,1
2025-11-28,CDC,1
2025-12-04,CDC,1
2025-12-22,CDC,2
2025-12-31,CDC,1
2026-01-06,CDC,1
2026-01-07,CDC,2
2026-01-08,CDC,1
2026-01-13,CDC,1
2026-01-22,CDC,2
2026-02-19,CDC,1
2026-02-24,CDC,1
2026-03-04,CDC,1
2026-03-19,CDC,1
2026-03-25,CDC,1
2026-04-07,CDC,2
2026-04-08,CDC,1
2026-04-09,CDC,1
2026-04-17,CDC,1
2026-04-21,CDC,1
2026-04-22,CDC,1
2026-04-23,CDC,2
2026-04-24,CDC,1
2026-04-28,CDC,1
2026-04-29,CDC,1
2026-05-12,CDC,1
2026-05-19,CDC,2
2026-05-22,CDC,1
2026-05-28,CDC,1
2026-06-03,CDC,1
2026-06-05,CDC,3
2026-06-23,CDC,2
2026-06-30,CDC,1
2026-07-01,CDC,1
2026-07-06,CDC,1
2026-07-07,CDC,1
2026-09-03,CDC,81
